customer_state,product_category_name_english,total_revenue,items_sold
RO,health_beauty,7085.76,25
MA,cool_stuff,7080.41,32
RJ,home_construction,6987.78,71
CE,housewares,6958.06,56
CE,telephony,6912.59,92
MT,baby,6831.63,33
CE,bed_bath_table,6800.79,81
MA,computers,6786.98,5
SP,costruction_tools_tools,6786.25,33
RS,luggage_accessories,6770.05,55
PE,garden_tools,6764.53,64
BA,fashion_bags_accessories,6745.89,76
SP,fashion_shoes,6688.71,89
PR,computers,6676.98,4
MG,construction_tools_safety,6653.26,24
ES,perfumery,6577.55,68
MT,furniture_decor,6568.94,75
PE,perfumery,6509.03,48
PA,cool_stuff,6454.0,46
PE,musical_instruments,6410.5,11
MG,home_appliances_2,6376.78,19
PR,luggage_accessories,6358.05,50
SC,home_appliances_2,6292.38,16
SP,food_drink,6271.36,129
MG,construction_tools_lights,6267.15,41
MS,watches_gifts,6251.9,37
BA,electronics,6182.13,107
RS,home_appliances,6141.38,44
RJ,costruction_tools_garden,6093.25,38
SC,computers,6069.98,5
DF,telephony,6049.54,91
GO,telephony,5984.15,120
CE,garden_tools,5980.84,55
SC,fashion_bags_accessories,5958.37,76
MS,cool_stuff,5943.89,25
SC,luggage_accessories,5866.87,34
MT,toys,5857.16,44
PR,home_appliances,5824.3,44
MS,furniture_decor,5819.66,65
MS,bed_bath_table,5746.71,64
PA,garden_tools,5718.42,37
SE,cool_stuff,5686.67,17
BA,pet_shop,5655.67,61
PR,consoles_games,5648.82,44
PE,agro_industry_and_commerce,5611.92,5
PB,garden_tools,5590.009999999999,15
PE,consoles_games,5572.24,19
RS,construction_tools_construction,5529.75,43
MG,audio,5529.09,34
PI,sports_leisure,5525.79,33
RJ,drinks,5524.82,53
ES,stationery,5503.36,50
PB,cool_stuff,5458.16,25
MG,home_appliances,5437.62,85
RN,telephony,5303.29,25
MA,auto,5291.16,39
MA,baby,5249.38,26
ES,musical_instruments,5247.38,21
ES,office_furniture,5172.8,30
TO,sports_leisure,5144.32,25
PE,housewares,5101.72,58
MS,garden_tools,5095.07,22
PR,home_appliances_2,5009.820000000001,15
PI,computers_accessories,4978.02,35
MA,telephony,4977.03,64
SC,construction_tools_construction,4976.8,30
PE,baby,4939.41,41
TO,watches_gifts,4920.89,29
DF,pet_shop,4917.71,39
PR,agro_industry_and_commerce,4903.53,12
TO,health_beauty,4798.99,36
SC,small_appliances_home_oven_and_coffee,4754.9,4
CE,office_furniture,4716.76,28
GO,pet_shop,4692.63,28
MG,small_appliances_home_oven_and_coffee,4668.38,10
MS,baby,4610.22,31
PA,housewares,4595.21,37
BA,construction_tools_construction,4594.7,36
AL,auto,4578.54,22
GO,stationery,4553.84,48
CE,baby,4548.24,31
PA,perfumery,4480.28,35
PE,stationery,4471.6900000000005,47
MG,books_general_interest,4470.5199999999995,54
MA,furniture_decor,4445.37,45
PB,furniture_decor,4441.71,42
AL,telephony,4434.16,27
RO,watches_gifts,4428.27,14
SC,consoles_games,4387.53,34
MA,perfumery,4386.59,30
MG,air_conditioning,4379.11,20
DF,stationery,4358.19,45
CE,small_appliances,4356.29,7
PI,baby,4293.09,12
SE,furniture_decor,4231.39,25
RN,auto,4222.61,19
SP,fashion_male_clothing,4195.4800000000005,54
TO,computers_accessories,4147.219999999999,20
PB,auto,4141.27,22
BA,fixed_telephony,4131.82,12
RN,sports_leisure,4101.37,22
PB,sports_leisure,4094.74,31
SE,computers_accessories,4052.9,36
RJ,books_general_interest,4043.4300000000003,50
MA,bed_bath_table,3964.63,36
MG,kitchen_dining_laundry_garden_furniture,3886.46,29
PA,office_furniture,3885.25,26
SC,home_construction,3878.12,25
BA,small_appliances,3871.96,18
BA,consoles_games,3848.32,34
MT,musical_instruments,3818.7,6
PI,toys,3808.8,28
RN,cool_stuff,3800.28,21
PI,bed_bath_table,3777.75,34
PA,toys,3731.64,27
MT,office_furniture,3720.77,20
MA,office_furniture,3715.64,23
AL,sports_leisure,3697.78,32
CE,electronics,3693.0,45
PI,garden_tools,3642.85,16
MT,housewares,3640.5,52
CE,consoles_games,3631.5499999999997,15
AL,furniture_decor,3588.4900000000002,30
RS,furniture_living_room,3582.95,24
MS,musical_instruments,3582.5,7
GO,computers,3559.9700000000003,5
MS,toys,3557.77,34
SP,fashion_underwear_beach,3520.95,53
PE,office_furniture,3519.57,20
PA,bed_bath_table,3506.54,38
MT,small_appliances,3502.9,8
PB,bed_bath_table,3494.59,32
PI,cool_stuff,3490.87,20
MA,musical_instruments,3477.05,10
ES,fashion_bags_accessories,3465.14,48
PR,kitchen_dining_laundry_garden_furniture,3439.09,14
TO,cool_stuff,3429.41,16
RJ,furniture_bedroom,3408.96,19
PB,toys,3408.07,16
RN,stationery,3403.01,13
PA,small_appliances,3366.25,9
PR,air_conditioning,3353.81,12
RJ,small_appliances_home_oven_and_coffee,3332.09,6
PB,industry_commerce_and_business,3321.97,3
PA,computers,3319.0,4
SE,garden_tools,3318.63,27
CE,luggage_accessories,3316.6,23
RN,bed_bath_table,3311.44,30
MG,fashion_shoes,3304.28,43
ES,electronics,3286.14,78
CE,musical_instruments,3261.67,7
RJ,construction_tools_lights,3257.91,21
RN,furniture_decor,3241.48,29
MT,construction_tools_construction,3215.88,7
RO,sports_leisure,3212.88,19
GO,office_furniture,3161.9300000000003,22
MA,toys,3161.42,22
RS,agro_industry_and_commerce,3155.9300000000003,9
DF,fashion_bags_accessories,3148.09,44
PB,telephony,3147.52,26
RS,industry_commerce_and_business,3147.49,23
RJ,industry_commerce_and_business,3126.6,28
MT,telephony,3124.75,63
GO,fashion_bags_accessories,3120.7,44
MT,stationery,3113.16,28
BA,luggage_accessories,3084.93,30
RO,toys,3079.0499999999997,15
SC,home_appliances,3048.5099999999998,25
CE,stationery,3034.43,37
SE,sports_leisure,3027.52,33
RS,home_confort,2991.89,21
RJ,art,2934.25,32
PR,books_general_interest,2933.35,36
MT,signaling_and_security,2919.3999999999996,6
DF,office_furniture,2917.75,18
MT,pet_shop,2906.3,15
SE,watches_gifts,2896.0,20
MT,computers,2889.99,2
PA,electronics,2875.88,28
PE,pet_shop,2864.78,23
SP,dvds_blu_ray,2852.7599999999998,21
SC,construction_tools_safety,2850.64,13
RN,perfumery,2844.69,20
PR,audio,2841.27,18
MT,perfumery,2837.13,30
MG,market_place,2825.05,33
RJ,food,2808.31,47
RN,garden_tools,2801.3199999999997,18
PI,telephony,2786.7200000000003,35
DF,luggage_accessories,2776.85,24
AM,health_beauty,2776.03,20
PR,home_construction,2748.11,24
RJ,construction_tools_safety,2736.43,17
DF,home_appliances_2,2733.9,5
RJ,food_drink,2705.6,50
ES,construction_tools_construction,2696.38,12
AL,consoles_games,2683.08,7
GO,home_construction,2668.35,13
BA,home_construction,2654.23,14
CE,home_appliances_2,2653.9,3
RJ,market_place,2611.84,34
GO,small_appliances,2594.88,10
PE,construction_tools_construction,2593.77,12
BA,home_appliances,2588.89,37
PB,electronics,2573.4300000000003,13
MS,pet_shop,2569.92,25
RN,computers_accessories,2561.28,31
ES,luggage_accessories,2553.48,16
RS,books_general_interest,2540.85,28
DF,musical_instruments,2532.6,10
GO,costruction_tools_tools,2529.5,7
CE,fashion_bags_accessories,2506.84,27
PI,housewares,2506.09,19
RO,computers,2499.9,2
PA,stationery,2496.81,22
BA,furniture_living_room,2494.4300000000003,20
DF,electronics,2458.04,51
SP,tablets_printing_image,2449.76,32
PB,housewares,2443.7,23
RO,cool_stuff,2440.14,13
SP,books_imported,2439.5099999999998,36
TO,auto,2418.84,16
RS,fixed_telephony,2402.76,19
PB,perfumery,2402.07,18
AL,cool_stuff,2401.04,15
GO,consoles_games,2386.84,22
MA,housewares,2384.76,24
BA,construction_tools_safety,2355.93,6
PI,computers,2349.99,3
AL,home_appliances_2,2345.0,2
RN,baby,2334.39,15
SE,telephony,2330.92,27
PB,home_appliances,2310.0,2
RJ,signaling_and_security,2305.64,19
MG,costruction_tools_garden,2302.13,29
RN,pet_shop,2301.68,13
RJ,fashion_shoes,2301.21,28
BA,agro_industry_and_commerce,2257.0,5
RS,construction_tools_lights,2252.53,24
RS,audio,2245.2,16
SE,auto,2209.98,20
AL,pet_shop,2195.9,3
MS,construction_tools_safety,2185.89,2
PR,construction_tools_safety,2184.5099999999998,18
TO,baby,2179.63,7
ES,pet_shop,2171.08,26
PE,fashion_bags_accessories,2169.0299999999997,33
ES,home_construction,2148.7000000000003,15
SP,christmas_supplies,2143.98,50
BA,market_place,2135.69,4
SC,furniture_living_room,2131.37,12
PB,stationery,2130.18,18
PA,fashion_bags_accessories,2102.54,31
SP,music,2093.25,12
RO,computers_accessories,2081.57,23
PB,small_appliances,2068.3599999999997,4
MG,food,2063.09,37
PR,construction_tools_lights,2061.88,13
DF,consoles_games,2053.34,27
AP,computers_accessories,2050.0299999999997,8
AL,computers,2049.99,2
DF,audio,2048.23,16
SP,furniture_mattress_and_upholstery,2039.2,21
MG,furniture_bedroom,2038.8,6
RO,baby,2038.49,10
ES,consoles_games,2027.26,20
PA,consoles_games,2013.73,14
RO,small_appliances_home_oven_and_coffee,1999.0,1
TO,small_appliances_home_oven_and_coffee,1999.0,1
TO,furniture_decor,1996.19,17
CE,costruction_tools_garden,1988.0,8
AM,garden_tools,1980.88,5
PA,pet_shop,1979.88,11
RS,market_place,1978.53,21
GO,audio,1974.88,7
RS,kitchen_dining_laundry_garden_furniture,1969.6,13
RN,toys,1964.52,25
PR,furniture_living_room,1960.6100000000001,16
MA,garden_tools,1946.47,23
MA,fashion_bags_accessories,1944.8400000000001,25
SP,cine_photo,1943.92,30
AL,bed_bath_table,1930.14,19
SC,fixed_telephony,1916.88,7
MG,food_drink,1913.9,26
MG,books_technical,1901.03,29
BA,home_appliances_2,1894.78,5
PE,electronics,1894.74,38
SC,books_general_interest,1890.22,23
RN,housewares,1882.55,25
MG,drinks,1865.6,25
TO,toys,1864.1499999999999,13
PB,fixed_telephony,1845.79,5
PB,baby,1842.58,12
AM,computers_accessories,1815.74,16
SE,bed_bath_table,1812.17,15
TO,perfumery,1804.93,13
DF,home_appliances,1802.43,15
CE,construction_tools_construction,1793.06,10
AL,perfumery,1766.66,12
PR,books_technical,1764.45,15
AM,watches_gifts,1755.35,10
PA,musical_instruments,1733.3700000000001,10
RO,bed_bath_table,1732.27,15
SE,consoles_games,1731.99,6
MS,stationery,1728.0,22
MS,perfumery,1721.1,24
MG,costruction_tools_tools,1720.05,18
MS,construction_tools_construction,1715.01,14
SE,musical_instruments,1714.8000000000002,3
PI,perfumery,1695.67,15
AC,sports_leisure,1677.46,9
MG,industry_commerce_and_business,1675.96,17
RN,construction_tools_construction,1655.57,8
RN,consoles_games,1654.96,6
AP,watches_gifts,1639.8,8
PR,home_confort,1637.1000000000001,13
PE,luggage_accessories,1635.2600000000002,13
GO,luggage_accessories,1632.77,12
RJ,books_technical,1621.68,29
CE,home_appliances,1611.0,6
ES,books_general_interest,1594.8500000000001,11
SC,audio,1592.57,10
AL,garden_tools,1588.18,13
BA,small_appliances_home_oven_and_coffee,1574.9,3
BA,costruction_tools_garden,1569.39,8
SP,party_supplies,1565.89,17
RO,furniture_decor,1545.18,13
PI,consoles_games,1540.5900000000001,8
GO,home_appliances_2,1537.9,3
MG,fashion_male_clothing,1536.73,20
SC,home_confort,1536.29,11
MA,furniture_living_room,1519.9,4
PA,luggage_accessories,1515.63,7
MS,electronics,1513.02,22
PR,food,1505.45,27
CE,home_construction,1501.85,8
SC,construction_tools_lights,1499.16,16
SE,small_appliances,1486.7,3
AL,agro_industry_and_commerce,1476.3,1
MS,telephony,1475.69,28
GO,musical_instruments,1472.84,9
SC,industry_commerce_and_business,1470.8799999999999,16
MA,stationery,1455.89,20
RN,fashion_bags_accessories,1455.79,8
PR,drinks,1449.32,15
SC,market_place,1448.69,14
ES,home_confort,1448.28,11
SE,baby,1447.49,8
GO,agro_industry_and_commerce,1440.3899999999999,5
RN,home_appliances_2,1439.9,2
AP,computers,1437.0,1
RN,books_general_interest,1432.6,27
BA,audio,1430.69,14
GO,industry_commerce_and_business,1428.1399999999999,7
DF,furniture_living_room,1405.6599999999999,7
PI,pet_shop,1396.78,7
RS,signaling_and_security,1392.45,17
TO,fixed_telephony,1390.99,2
AC,watches_gifts,1389.6,4
RO,auto,1389.16,10
AC,health_beauty,1386.58,7
PI,musical_instruments,1381.6,6
GO,furniture_living_room,1381.57,10
AP,health_beauty,1380.58,10
RO,construction_tools_construction,1374.5,4
MG,art,1366.54,18
MS,luggage_accessories,1365.63,9
AM,sports_leisure,1362.6,12
RJ,fashion_underwear_beach,1359.47,17
PI,furniture_decor,1359.32,19
CE,books_general_interest,1353.05,7
RR,sports_leisure,1350.6,8
RS,air_conditioning,1344.3899999999999,13
PE,home_construction,1341.65,7
AM,computers,1340.0,1
SP,fashio_female_clothing,1335.17,26
MA,consoles_games,1331.53,6
MT,consoles_games,1330.49,9
DF,kitchen_dining_laundry_garden_furniture,1323.8,5
AC,furniture_decor,1316.44,12
ES,furniture_living_room,1302.32,13
MA,home_appliances,1297.8,3
RO,perfumery,1291.3,6
PI,electronics,1276.94,21
DF,industry_commerce_and_business,1272.0,6
TO,telephony,1268.1200000000001,21
SE,housewares,1267.48,10
MG,christmas_supplies,1256.34,18
RN,office_furniture,1244.72,5
MG,fixed_telephony,1244.6,17
AC,computers_accessories,1238.5,8
GO,construction_tools_construction,1233.1599999999999,11
TO,office_furniture,1226.54,6
AP,auto,1216.3899999999999,3
PI,office_furniture,1212.6100000000001,8
TO,garden_tools,1206.3,13
MA,luggage_accessories,1202.43,9
AC,computers,1200.0,1
SE,computers,1200.0,1
TO,computers,1200.0,1
ES,audio,1197.78,14
DF,books_general_interest,1196.89,16
PB,office_furniture,1191.33,10
RO,luggage_accessories,1181.6,6
BA,home_confort,1170.4,11
GO,music,1165.97,1
GO,books_general_interest,1162.69,14
ES,home_appliances_2,1149.99,3
PE,fashion_shoes,1149.6000000000001,10
CE,pet_shop,1141.04,13
MT,luggage_accessories,1139.5900000000001,8
ES,books_technical,1138.6,14
MG,,1133.9,2
PI,stationery,1129.6,10
PR,industry_commerce_and_business,1127.97,11
ES,home_appliances,1120.96,15
RS,costruction_tools_tools,1113.4,8
GO,home_confort,1110.5,8
PA,agro_industry_and_commerce,1109.98,2
SC,cine_photo,1106.8899999999999,4
AC,telephony,1103.96,5
MG,party_supplies,1103.0,5
SE,toys,1100.29,11
RO,office_furniture,1087.8600000000001,6
DF,construction_tools_construction,1085.94,11
MT,home_construction,1085.28,7
SE,electronics,1083.94,18
RJ,costruction_tools_tools,1072.68,9
GO,signaling_and_security,1071.3400000000001,6
MG,fashion_underwear_beach,1070.8,18
SC,agro_industry_and_commerce,1069.98,3
PR,fashion_shoes,1067.02,18
PB,luggage_accessories,1066.49,7
MT,construction_tools_safety,1063.5900000000001,4
PR,fashion_male_clothing,1061.28,12
PB,fashion_bags_accessories,1061.08,14
SP,diapers_and_hygiene,1058.8899999999999,30
AL,toys,1053.07,12
PE,kitchen_dining_laundry_garden_furniture,1051.88,4
PB,signaling_and_security,1050.0,6
AL,construction_tools_construction,1045.0,1
MS,fashion_bags_accessories,1030.58,14
ES,tablets_printing_image,1026.79,4
RS,drinks,1025.95,17
GO,fashion_shoes,1022.3,7
MT,home_appliances,1022.29,8
RJ,furniture_mattress_and_upholstery,1019.99,8
MS,home_construction,1019.0,7
RJ,music,1017.85,8
TO,home_appliances_2,1016.98,3
ES,construction_tools_lights,1012.3,9
TO,bed_bath_table,1010.83,10
AL,office_furniture,1009.8399999999999,7
PB,musical_instruments,1007.8,4
AL,luggage_accessories,999.36,6
PE,costruction_tools_garden,995.54,6
MT,electronics,985.66,26
GO,construction_tools_lights,985.0,5
PA,,979.0,1
RS,,979.0,1
RO,pet_shop,975.53,8
PE,home_confort,970.4000000000001,8
RS,costruction_tools_garden,967.0799999999999,6
PE,home_appliances_2,959.99,2
PB,home_construction,959.25,5
RR,home_appliances,954.1800000000001,3
RR,baby,949.9,1
DF,fashion_shoes,944.59,7
GO,air_conditioning,940.89,7
SP,fashion_sport,939.8000000000001,12
BA,food,932.55,15
PR,market_place,928.9399999999999,15
TO,housewares,926.17,13
SC,books_technical,917.34,9
RS,books_technical,913.56,12
ES,food,911.19,13
RJ,tablets_printing_image,907.79,10
SP,arts_and_craftmanship,906.25,16
MS,construction_tools_lights,904.98,9
CE,audio,902.89,5
BA,books_general_interest,902.7,14
BA,art,898.95,10
ES,air_conditioning,898.8,6
SC,drinks,891.91,14
SE,home_construction,884.95,3
CE,construction_tools_safety,882.63,5
PI,industry_commerce_and_business,874.3,3
PB,consoles_games,873.38,7
SE,furniture_living_room,870.99,3
SE,perfumery,868.72,7
RJ,fashion_male_clothing,867.48,10
BA,fashion_male_clothing,863.9,8
SC,christmas_supplies,863.12,13
ES,signaling_and_security,859.9,6
GO,electronics,854.75,33
MG,tablets_printing_image,851.7,10
BA,fashion_shoes,851.5,7
MA,pet_shop,846.44,10
BA,air_conditioning,832.86,6
ES,market_place,828.78,7
PE,construction_tools_safety,826.1800000000001,3
RS,cine_photo,821.5799999999999,12
PI,home_construction,820.5999999999999,4
AP,sports_leisure,812.69,7
SC,furniture_bedroom,803.0,3
DF,home_construction,793.64,7
DF,construction_tools_lights,788.0,4
PB,pet_shop,786.48,8
PE,small_appliances,781.89,3
ES,fashion_shoes,780.3,5
SE,construction_tools_construction,779.9,1
MS,home_appliances_2,769.69,4
AM,telephony,766.0,15
MG,signaling_and_security,754.45,11
AM,home_construction,753.4,4
SC,fashion_shoes,750.1,7
MT,small_appliances_home_oven_and_coffee,750.0,1
MS,small_appliances_home_oven_and_coffee,750.0,1
DF,small_appliances_home_oven_and_coffee,750.0,1
MA,books_imported,749.0,1
SC,food,747.44,16
BA,construction_tools_lights,744.06,6
RS,fashion_shoes,742.8000000000001,10
MS,office_furniture,739.77,4
SP,,736.31,8
MT,food,734.4,7
MA,audio,733.88,3
AL,fixed_telephony,731.87,4
AL,furniture_living_room,729.79,3
